model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  CG 601,bathroom and kitchen fittings,sanitary ware,faucet,push taps,cera,CERA Faucets - F9020101 Pillar cock pressmatic,Pillar cock pressmatic with aerator," 2,780",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-601-Pillar-cock-pressmatic-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  CG 603,bathroom and kitchen fittings,sanitary ware,faucet,push taps,cera,CERA Faucets - F9020151 Bib cock pressmatic,Bib cock pressmatic with aerator & wall flange," 2,935",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-603-Bib-cock-pressmatic-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  CG 608,bathroom and kitchen fittings,sanitary ware,faucet,push taps,cera,CERA Faucets - F9020201 Angle cock pressmatic,Angle cock pressmatic with wall flange," 2,210",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-608-Angle-cock-pressmatic-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F9020203,bathroom and kitchen fittings,sanitary ware,faucet,push taps,cera,CERA Faucets - Self closing angle cock pressmatic,Self closing angle cock pressmatic for urinal with wall flange and 200 mm connecting pipe," 2,765",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-111self-closing-angle-cock-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F9010102,bathroom and kitchen fittings,sanitary ware,faucet,push taps,cera,CERA Faucets - F9010102 Pillar cock with extended body,Pillar cock with extended body," 3,025",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2021/03/F9010102-Pillar-cock-with-extended-body.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CG 701,bathroom and kitchen fittings,sanitary ware,faucet,swan neck,cera,CERA Faucets - F9010101 Twister Pillar cock,Pillar cock – Twister," 1,980",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CG-701.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F2004661,bathroom and kitchen fittings,sanitary ware,faucet,bathtub faucet,cera,CERA Other Allied Products - F2004661 Bath tub spout,Bath tub spout with wall flange (suitable for Mist range)," 1,870",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CQ-424.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2004662,bathroom and kitchen fittings,sanitary ware,faucet,bathtub faucet,cera,CERA Other Allied Products - F2004662 Bath tub spout with button arrangement,Bath tub spout with wall flange and button arrangement for telephonic shower (suitable for Mist range)," 2,800",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CQ-425.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  CQ 124,bathroom and kitchen fittings,sanitary ware,faucet,bathtub faucet,cera,CERA Other Allied Products - F2001661Bath tub spout,Bath tub spout with wall flange (suitable for Dew and Titanium ranges)," 1,800",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CQ-124.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  CQ 125,bathroom and kitchen fittings,sanitary ware,faucet,bathtub faucet,cera,CERA Other Allied Products - F2001662 Bath tub spout with button arrangement,Bath tub spout with wall flange and button arrangement for telephonic shower (suitable for Dew and Titanium ranges)," 2,700",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CQ-125.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
